Printing table with stopwords...
+----------------+--------+--------+--------+
|                |    Doc1|    Doc2|    Doc3|
+----------------+--------+--------+--------+
| 'em            |       1|       0|       1|
| a              |       2|       0|       2|
| adventures     |       0|       1|       0|
| ah-ah-ah       |       0|       1|       0|
| ah-ah-ah-ah-ah |       0|       3|       0|
| all            |       1|       2|       1|
| allow          |       1|       0|       1|
| and            |       0|       6|       0|
| are            |       0|       0|       3|
| b              |       0|       2|       0|
| bear           |       0|       2|       0|
| beats          |       1|       0|       1|
| been           |       1|       0|       1|
| begun          |       0|       1|       0|
| best           |       0|       3|       0|
| better         |       0|       2|       0|
| bit            |       1|       0|       1|
| born           |       1|       0|       1|
| boys           |       2|       0|       2|
| but            |       1|       0|       1|
| call           |       0|       1|       0|
| change         |       1|       0|       1|
| children       |       0|       1|       0|
| cities         |       0|       6|       0|
| condor         |       0|       1|       0|
| could          |       1|       0|       1|
| curve          |       1|       0|       1|
| dallas         |       0|       1|       0|
| day            |       2|       5|       2|
| do-do-do-do    |       0|       3|       0|
| don't          |       0|       1|       0|
| down           |       0|       1|       0|
| dreams         |       0|       1|       0|
| ever           |       1|       0|       1|
| every          |       0|       3|       0|
| everywhere     |       0|       1|       0|
| exactly        |       0|       1|       0|
| feel           |       0|       0|       1|
| fightin'       |       1|       0|       1|
| find           |       0|       2|       0|
| flat'nin'      |       1|       0|       1|
| flight         |       0|       1|       0|
| for            |       0|       3|       0|
| friend         |       0|       2|       0|
| friends        |       0|       1|       0|
| get            |       1|       0|       1|
| goin'          |       0|       2|       0|
| gold           |       0|       6|       0|
| good           |       2|       0|       2|
| harm           |       1|       0|       1|
| has            |       0|       1|       0|
| have           |       0|       1|       0|
| he             |       0|       1|       0|
| he's           |       0|       1|       0|
| hear           |       0|       0|       1|
| hey            |       0|       1|       0|
| hills          |       1|       0|       1|
| his            |       0|       1|       0|
| ho             |       0|       0|       1|
| home           |       0|       1|       0|
| hood           |       1|       0|       1|
| how            |       1|       0|       1|
| i              |       0|       1|       0|
| i'm            |       0|       1|       0|
| if             |       1|       0|       1|
| improvin'      |       0|       1|       0|
| in             |       1|       2|       1|
| is             |       0|       2|       0|
| j              |       0|       2|       0|
| just           |       3|       3|       3|
| keep           |       0|       1|       0|
| keeps          |       0|       1|       0|
| know           |       1|       0|       1|
| knowin'        |       0|       1|       0|
| knows          |       0|       1|       0|
| ladies         |       0|       2|       0|
| last           |       0|       1|       0|
| law            |       3|       0|       3|
| like           |       1|       0|       1|
| little         |       1|       0|       1|
| loose          |       0|       0|       2|
| magic          |       0|       0|       1|
| makin'         |       1|       0|       1|
| mckay          |       0|       2|       0|
| meanin'        |       1|       0|       1|
| might          |       1|       0|       1|
| modern         |       1|       0|       1|
| more           |       1|       0|       1|
| mountain       |       1|       0|       1|
| move           |       0|       0|       1|
| movin'         |       0|       1|       0|
| my             |       0|       2|       0|
| never          |       2|       0|       2|
| new            |       0|       3|       0|
| night          |       0|       1|       0|
| no             |       1|       0|       1|
| not            |       0|       1|       0|
| of             |       0|       8|       0|
| off            |       0|       1|       0|
| ol'            |       2|       0|       2|
| on             |       0|       1|       1|
| one            |       0|       1|       0|
| only           |       1|       0|       1|
| or             |       0|       1|       0|
| orleans        |       0|       1|       0|
| palace         |       0|       1|       0|
| pay            |       0|       1|       0|
| place          |       0|       1|       0|
| places         |       0|       1|       0|
| property       |       0|       1|       0|
| providin'      |       0|       1|       0|
| roar           |       0|       0|       1|
| robin          |       1|       0|       1|
| rollin'        |       0|       1|       0|
| saw            |       1|       0|       1|
| says           |       0|       1|       0|
| scenes         |       0|       1|       0|
| search         |       0|       1|       0|
| searching      |       0|       1|       0|
| see            |       0|       1|       0|
| since          |       1|       0|       1|
| some           |       0|       2|       0|
| someday        |       1|       0|       1|
| straight'nin'  |       1|       0|       1|
| sun            |       0|       1|       0|
| system         |       1|       0|       1|
| tax            |       0|       1|       0|
| than           |       1|       1|       1|
| that's         |       1|       0|       1|
| the            |      10|       7|      13|
| their          |       1|       0|       1|
| there          |       0|       1|       0|
| they           |       3|       0|       3|
| this           |       0|       1|       0|
